                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     16,                  1.079,                 1.5357,                0.72736,                 1.0617,                0.92491,                0.92157,                0.96691,                0.65255,                0.92466,                0.91553,                0.96829,                0.59205,                 1.0619,                 1.4234,                0.72821,                 1.1572,                0.00703,                0.00703,                0.00703
                     17,                  1.102,                 1.5676,                0.72469,                  1.045,                 0.9292,                0.92965,                0.96636,                0.65793,                0.93197,                0.93225,                0.97125,                0.60372,                 1.0204,                 1.3861,                0.70948,                 1.1232,               0.006832,               0.006832,               0.006832
                     18,                  1.059,                 1.5633,                0.68851,                  1.047,                0.93784,                0.92168,                 0.9659,                0.67646,                0.93859,                0.92513,                0.96872,                0.60873,                  1.051,                 1.4777,                  0.682,                 1.1234,               0.006634,               0.006634,               0.006634
                     19,                 1.0634,                 1.5051,                0.68352,                 1.0409,                0.92186,                0.93976,                0.96529,                0.67158,                0.93243,                0.94591,                0.97415,                0.61333,                 1.0616,                 1.3964,                0.68885,                 1.0922,               0.006436,               0.006436,               0.006436
                     20,                 1.0407,                 1.4597,                0.67486,                 1.0301,                0.93998,                0.93291,                0.97167,                0.70597,                0.94459,                0.93813,                 0.9788,                0.63603,                0.96436,                 1.3836,                0.64165,                  1.067,               0.006238,               0.006238,               0.006238
                     21,                 1.0111,                 1.4874,                0.65159,                 1.0271,                0.95226,                0.92792,                0.97125,                0.70544,                0.95915,                 0.9324,                0.97478,                0.66627,                 1.0051,                 1.3749,                0.63569,                 1.0913,                0.00604,                0.00604,                0.00604
                     22,                 1.0297,                 1.4539,                0.64344,                 1.0251,                0.93943,                0.92021,                0.96935,                0.71405,                0.94537,                0.92014,                0.97268,                0.63389,                0.93863,                 1.3533,                0.65475,                 1.0598,               0.005842,               0.005842,               0.005842
                     23,                 1.0108,                 1.4696,                0.64597,                 1.0247,                0.93055,                0.91441,                0.96415,                0.70842,                0.93329,                0.91739,                0.96573,                0.64647,                0.99548,                 1.3707,                0.66866,                 1.0785,               0.005644,               0.005644,               0.005644
                     24,                 1.0137,                 1.4578,                 0.6345,                 1.0124,                0.92987,                0.94814,                0.96549,                0.70264,                0.93542,                0.95192,                0.97021,                0.65029,                0.99508,                  1.338,                0.67288,                  1.074,               0.005446,               0.005446,               0.005446
                     25,                0.99558,                 1.4568,                0.63434,                 1.0088,                0.93597,                0.94295,                0.97273,                0.71424,                0.93833,                0.94589,                0.97429,                0.62889,                0.98184,                 1.3182,                0.64193,                 1.0789,               0.005248,               0.005248,               0.005248
                     26,                0.98328,                 1.4454,                0.61209,                 1.0213,                0.94184,                0.93803,                0.97684,                0.71753,                 0.9439,                0.93968,                0.97662,                0.67209,                0.97047,                  1.317,                0.60818,                 1.0837,                0.00505,                0.00505,                0.00505
                     27,                0.96419,                 1.3992,                0.59809,                 1.0091,                0.93937,                0.96474,                0.97056,                0.70611,                0.94275,                0.96862,                0.97468,                0.66207,                 1.0063,                  1.355,                0.62843,                 1.0998,               0.004852,               0.004852,               0.004852
                     28,                  1.004,                 1.4468,                0.60812,                 1.0013,                0.93366,                 0.9612,                0.96928,                0.70745,                0.93633,                0.96367,                0.97214,                0.62791,                 0.9947,                 1.3345,                0.62602,                 1.0704,               0.004654,               0.004654,               0.004654
                     29,                0.95505,                 1.4118,                0.59022,                 1.0047,                0.93409,                0.95357,                0.97295,                0.72357,                0.93661,                0.96346,                0.97561,                0.67114,                0.94768,                  1.348,                0.59458,                 1.0688,               0.004456,               0.004456,               0.004456
                     30,                0.95917,                 1.3926,                0.59506,                0.99895,                0.96149,                0.94272,                0.97532,                 0.7238,                0.96584,                0.94526,                0.97782,                0.65122,                0.96985,                 1.3476,                0.60678,                 1.0777,               0.004258,               0.004258,               0.004258
                     31,                0.92988,                  1.376,                0.58256,                0.99356,                0.95485,                0.93385,                0.97332,                0.72853,                0.95622,                0.93422,                0.97464,                0.63977,                0.98257,                  1.355,                0.59645,                 1.0708,                0.00406,                0.00406,                0.00406
                     32,                0.94178,                 1.3734,                0.57512,                0.98964,                0.92472,                 0.9445,                0.96839,                0.71734,                0.92734,                0.94719,                0.97012,                0.62727,                0.99548,                 1.3534,                0.62523,                 1.0969,               0.003862,               0.003862,               0.003862
                     33,                0.90981,                 1.3593,                0.55772,                0.98966,                0.93681,                0.95801,                0.96953,                0.72711,                0.94025,                0.96146,                0.97341,                0.64262,                0.94491,                 1.3222,                0.57644,                 1.0874,               0.003664,               0.003664,               0.003664
                     34,                0.91346,                  1.385,                0.56707,                 0.9885,                0.94839,                0.95811,                0.97431,                0.73507,                0.94654,                0.96608,                0.97466,                 0.6467,                0.93482,                 1.3036,                0.55651,                 1.0714,               0.003466,               0.003466,               0.003466
                     35,                0.90634,                   1.37,                 0.5504,                0.98033,                0.96096,                   0.95,                0.97495,                0.73573,                0.96003,                0.94907,                0.97662,                0.65582,                0.91915,                 1.3151,                0.56362,                  1.047,               0.003268,               0.003268,               0.003268
                     36,                0.90229,                 1.3556,                0.54622,                0.97847,                0.94485,                0.95665,                0.97549,                0.73816,                 0.9488,                0.96187,                0.97868,                0.64813,                0.91462,                 1.3018,                0.55731,                  1.051,                0.00307,                0.00307,                0.00307
                     37,                0.89031,                 1.3267,                0.53945,                0.97016,                0.95642,                 0.9497,                0.97308,                0.74428,                0.95872,                0.95268,                0.97238,                0.65201,                0.91895,                 1.2887,                0.54636,                 1.0472,               0.002872,               0.002872,               0.002872
                     38,                0.88445,                 1.3228,                0.52707,                0.97628,                0.95347,                0.95708,                0.97477,                0.74153,                0.95711,                0.96076,                0.97712,                 0.6638,                0.92592,                 1.2882,                0.55698,                 1.0506,               0.002674,               0.002674,               0.002674
                     39,                0.87284,                 1.2877,                 0.5266,                0.96341,                0.96008,                0.94124,                0.97601,                0.74919,                0.94698,                0.95825,                0.97426,                 0.6619,                0.90484,                 1.3032,                0.53628,                 1.0534,               0.002476,               0.002476,               0.002476
                     40,                0.81788,                 1.2605,                0.47496,                0.97316,                0.95656,                0.94872,                 0.9767,                0.74916,                0.95849,                0.95036,                0.97686,                0.67234,                0.90992,                 1.3192,                  0.542,                 1.0475,               0.002278,               0.002278,               0.002278
                     41,                0.81955,                 1.2468,                 0.4727,                0.96553,                0.96046,                0.94583,                0.97506,                0.73918,                0.96425,                 0.9516,                0.97831,                0.66384,                0.91137,                 1.3048,                0.54632,                 1.0607,                0.00208,                0.00208,                0.00208
                     42,                0.81544,                 1.2369,                0.46556,                0.95921,                0.96228,                0.93885,                0.97241,                0.74019,                0.95132,                0.96027,                 0.9785,                0.66085,                0.91301,                 1.3068,                0.54437,                 1.0515,               0.001882,               0.001882,               0.001882
                     43,                0.80593,                 1.2045,                0.45344,                 0.9562,                0.95408,                0.95279,                0.97517,                0.74328,                0.95704,                0.96167,                0.97951,                0.66342,                0.90487,                 1.2962,                0.55471,                 1.0531,               0.001684,               0.001684,               0.001684
                     44,                0.79126,                 1.2177,                0.44858,                0.95384,                0.95452,                0.95447,                0.97566,                0.74669,                0.95631,                0.95623,                0.97793,                0.66401,                0.89395,                 1.2868,                0.54473,                 1.0465,               0.001486,               0.001486,               0.001486
                     45,                0.78525,                  1.205,                0.44207,                0.94987,                0.95586,                0.95148,                 0.9742,                0.74986,                0.95682,                0.95875,                0.97885,                0.66788,                0.89491,                 1.2744,                0.52958,                 1.0514,               0.001288,               0.001288,               0.001288
                     46,                0.78977,                 1.2068,                0.44446,                0.94778,                0.95534,                0.95281,                0.97459,                0.74725,                0.95703,                0.95754,                0.97845,                0.66504,                0.89791,                 1.2842,                0.52989,                 1.0474,                0.00109,                0.00109,                0.00109
                     47,                0.76447,                  1.188,                0.43019,                 0.9439,                0.95666,                0.95587,                 0.9749,                0.75043,                0.96205,                0.96123,                0.97887,                0.66301,                0.88786,                 1.2778,                0.51982,                 1.0379,               0.000892,               0.000892,               0.000892
                     48,                0.76522,                 1.1816,                0.42967,                0.94129,                0.95672,                0.95649,                0.97416,                0.75483,                 0.9615,                0.96345,                0.97892,                0.67688,                0.88431,                 1.2908,                0.51242,                 1.0466,               0.000694,               0.000694,               0.000694
                     49,                0.76007,                 1.1811,                  0.427,                 0.9376,                 0.9536,                0.96088,                0.97411,                0.75763,                0.95842,                0.96407,                 0.9784,                0.67559,                 0.8845,                 1.2846,                0.50666,                 1.0496,               0.000496,               0.000496,               0.000496
