                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5506,                 4.3538,                  3.834,                 1.9868,                0.16015,                0.51788,                 0.2162,                0.11692,                0.15535,                0.50665,                 0.2086,                0.09745,                 1.4577,                 2.2325,                 4.0309,                 1.3413,                 0.0838,                 0.0018,                 0.0018
                      1,                 1.3744,                 2.4564,                 1.7448,                 1.2624,                0.48647,                0.66477,                0.57125,                0.36905,                 0.4845,                0.66048,                0.56179,                0.29908,                 1.1678,                 1.7624,                 1.6552,                 1.1152,               0.066627,              0.0036267,              0.0036267
                      2,                 1.2967,                 2.1222,                  1.388,                 1.1478,                0.56906,                0.72496,                0.70168,                0.45537,                0.57082,                0.73024,                0.70239,                0.39237,                 1.1674,                 1.9437,                 1.2702,                 1.1404,               0.049378,              0.0053782,              0.0053782
                      3,                 1.2845,                 2.0827,                 1.2735,                 1.1253,                0.49366,                0.69197,                0.65723,                0.40773,                0.49456,                0.68994,                0.65867,                0.39619,                 1.3137,                 1.7801,                 2.1139,                 1.1328,               0.032054,              0.0070545,              0.0070545
                      4,                 1.2291,                 1.9774,                 1.2445,                 1.1146,                0.54595,                0.83207,                0.78598,                0.48875,                0.54571,                0.83203,                0.78847,                0.46762,                 1.2083,                 1.5733,                 1.3926,                 1.1496,               0.014656,              0.0086555,              0.0086555
                      5,                 1.2772,                 1.9327,                 1.2186,                 1.1235,                0.60066,                0.80175,                0.79044,                0.49595,                 0.6112,                0.77462,                0.78585,                0.49205,                 1.1941,                 1.6812,                 1.1987,                 1.1181,                0.00901,                0.00901,                0.00901
                      6,                  1.246,                  1.905,                 1.0553,                 1.1254,                0.85312,                0.84993,                 0.9243,                 0.6224,                0.85599,                0.85539,                0.92526,                0.55846,                 1.1023,                 1.5062,                 1.0066,                 1.0621,                0.00901,                0.00901,                0.00901
                      7,                 1.2733,                 1.7992,                 1.0421,                 1.1031,                0.71971,                0.82465,                0.86003,                0.55399,                0.72058,                 0.8265,                 0.8588,                0.52401,                 1.1544,                   1.69,                 1.1917,                 1.1408,               0.008812,               0.008812,               0.008812
                      8,                 1.2399,                 1.7798,                 0.9447,                 1.1116,                0.87113,                0.86434,                0.92811,                0.56772,                0.86561,                 0.8678,                0.92838,                0.50715,                 1.2062,                 1.5243,                0.91649,                 1.1282,               0.008614,               0.008614,               0.008614
                      9,                 1.1757,                 1.7313,                0.89124,                 1.0815,                0.85749,                0.84395,                0.92448,                0.57211,                0.85953,                0.84496,                0.92388,                0.59565,                 1.2537,                 1.6014,                 1.0201,                 1.1562,               0.008416,               0.008416,               0.008416
                     10,                 1.1843,                 1.6618,                0.91768,                 1.0821,                0.88985,                0.89106,                0.94042,                0.64188,                0.88876,                0.88983,                0.93938,                0.56553,                 1.0533,                  1.443,                0.84761,                 1.0996,               0.008218,               0.008218,               0.008218
                     11,                 1.1514,                 1.6415,                0.83682,                 1.0787,                0.90356,                0.89901,                0.95119,                0.66738,                0.90446,                0.89984,                0.95037,                 0.6235,                 1.0161,                 1.4422,                0.79099,                 1.0858,                0.00802,                0.00802,                0.00802
                     12,                 1.1309,                 1.6105,                0.79808,                  1.061,                0.93732,                0.90242,                0.96912,                0.65054,                0.93732,                0.90242,                0.96913,                0.62049,                  1.096,                 1.4033,                0.79241,                 1.0796,               0.007822,               0.007822,               0.007822
                     13,                 1.1275,                  1.639,                0.78131,                 1.0778,                0.92925,                0.89781,                 0.9608,                0.64005,                0.93406,                0.90308,                0.96727,                0.57755,                   1.12,                 1.4038,                0.76495,                 1.0863,               0.007624,               0.007624,               0.007624
                     14,                 1.0861,                 1.6468,                0.75476,                 1.0618,                0.91356,                0.85466,                0.94191,                0.60892,                0.91657,                0.85934,                0.94139,                0.55192,                 1.1306,                 1.4981,                0.86046,                 1.1401,               0.007426,               0.007426,               0.007426
                     15,                 1.0951,                 1.5428,                0.73382,                 1.0534,                0.89953,                0.91597,                0.95641,                0.64052,                0.90239,                0.91761,                0.95874,                0.61462,                 1.0556,                 1.3764,                0.77842,                  1.136,               0.007228,               0.007228,               0.007228
