                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6628,                 4.9078,                 4.5015,                 2.1513,                0.13841,                0.56002,                0.15424,                0.06631,                0.13917,                0.52007,                0.15118,                0.06298,                 1.8062,                 2.6367,                 3.2027,                 1.6776,                 0.0838,                 0.0018,                 0.0018
                      1,                  1.521,                 2.7746,                 2.0444,                 1.3905,                0.38444,                0.62197,                0.49026,                0.30149,                0.38819,                0.57624,                   0.46,                 0.2113,                 1.2751,                 2.5251,                 3.3339,                 1.1838,               0.066334,              0.0033337,              0.0033337
                      2,                 1.3001,                 2.3187,                 1.4988,                 1.2262,                0.53204,                0.68447,                0.61683,                0.36079,                0.53026,                0.68207,                0.61556,                0.35691,                 1.2655,                 1.8783,                 2.0494,                 1.0828,               0.048491,              0.0044912,              0.0044912
                      3,                 1.2289,                 2.1751,                 1.2936,                 1.1399,                0.63074,                0.75268,                 0.7681,                0.48237,                0.63197,                0.75443,                0.76994,                0.46645,                 1.2193,                 1.8511,                 1.5388,                 1.0984,               0.030272,              0.0052725,              0.0052725
                      4,                 1.2121,                 2.0834,                 1.1472,                 1.1439,                0.65892,                0.78373,                0.80864,                0.49036,                0.66289,                0.78708,                0.81528,                0.49027,                 1.2448,                 1.7369,                 1.1517,                 1.0834,               0.011678,              0.0056776,              0.0056776
                      5,                  1.251,                 2.0613,                  1.046,                 1.1278,                0.80964,                0.76028,                0.87606,                0.51497,                0.81132,                0.75876,                0.87507,                0.47145,                 1.2865,                 1.6851,                  1.103,                 1.1102,                0.00505,                0.00505,                0.00505
                      6,                 1.2015,                 1.9753,                0.98494,                 1.1221,                0.74969,                0.78872,                0.84504,                0.55311,                0.74257,                0.79878,                0.85089,                0.53669,                 1.1204,                 1.6089,                0.97091,                 1.0965,                0.00505,                0.00505,                0.00505
                      7,                 1.1703,                 1.9102,                 0.9279,                 1.1207,                0.79217,                0.81442,                 0.8721,                0.56944,                0.78358,                0.82083,                0.87254,                0.50928,                 1.1208,                 1.5651,                0.91638,                 1.1127,                0.00406,                0.00406,                0.00406
                      8,                 1.0983,                 1.7905,                0.83624,                 1.0864,                0.87432,                0.83463,                0.92672,                0.62279,                0.87432,                0.83416,                0.92434,                0.57457,                 1.0894,                 1.5149,                0.80997,                 1.0784,                0.00307,                0.00307,                0.00307
                      9,                 1.0763,                 1.7588,                 0.8002,                  1.074,                0.89108,                0.86899,                 0.9337,                0.65516,                0.89016,                0.86807,                0.93303,                0.59022,                 1.0262,                 1.5137,                0.76235,                 1.0577,                0.00208,                0.00208,                0.00208
